official_code,name,source,type,deck_origin,complexity,vertical_slice_role,script_path,script_found,database_found,source_art_path,art_asset,image_available,test_status,notes,database_name,database_alias
00000483,Parallel Teleport,official,Carta de Magia,allcards-numeric-0001-2500,quick,,official/c483.lua,true,true,C:\Users\ocara\Downloads\allcards\images\483.jpg,Assets/StreamingAssets/Ygo/Art/483.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Parallel Teleport,
00002511,Cucológio Labrinto,official,Monstro de Efeito,allcards-numeric-0001-2500,quick,,official/c2511.lua,true,true,C:\Users\ocara\Downloads\allcards\images\2511.jpg,Assets/StreamingAssets/Ygo/Art/2511.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Labrynth Cooclock,
00010000,Dragão dos Dez Mil,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c10000.lua,true,true,C:\Users\ocara\Downloads\allcards\images\10000.jpg,Assets/StreamingAssets/Ygo/Art/10000.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Ten Thousand Dragon,
00027551,Reversão do Limite,official,Carta de Armadilha,allcards-numeric-0001-2500,continuous,,official/c27551.lua,true,true,C:\Users\ocara\Downloads\allcards\images\27551.jpg,Assets/StreamingAssets/Ygo/Art/27551.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Limit Reverse,
00032864,O 13º Túmulo,official,Monstro Normal,allcards-numeric-0001-2500,simple,,,not_required_no_effect,true,C:\Users\ocara\Downloads\allcards\images\32864.jpg,Assets/StreamingAssets/Ygo/Art/32864.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,The 13th Grave,
00035699,ESPIRÃO Dormente,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c35699.lua,true,true,C:\Users\ocara\Downloads\allcards\images\35699.jpg,Assets/StreamingAssets/Ygo/Art/35699.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,SPYRAL Sleeper,
00039015,Sentinela de Ataque,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c39015.lua,true,true,C:\Users\ocara\Downloads\allcards\images\39015.jpg,Assets/StreamingAssets/Ygo/Art/39015.jpg,true,pending,Imported from the July 2026 curated deck batch.,Assault Sentinel,
00041546,D/D Sábio Thomas,official,Monstro Pêndulo de Efeito,allcards-numeric-0001-2500,negation,,official/c41546.lua,true,true,C:\Users\ocara\Downloads\allcards\images\41546.jpg,Assets/StreamingAssets/Ygo/Art/41546.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,D/D Savant Thomas,
00041777,Encantamento da Gema,official,Carta de Armadilha,allcards-numeric-0001-2500,intermediate,,official/c41777.lua,true,true,C:\Users\ocara\Downloads\allcards\images\41777.jpg,Assets/StreamingAssets/Ygo/Art/41777.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Gem-Enhancement,
00043227,Magnum the Reliever,official,Monstro de Fusão,allcards-numeric-0001-2500,extra_deck,,official/c43227.lua,true,true,C:\Users\ocara\Downloads\allcards\images\43227.jpg,Assets/StreamingAssets/Ygo/Art/43227.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Magnum the Reliever,
00044818,Cavalestrela Orbitael,official,Monstro de Efeito,allcards-numeric-0001-2500,quick,,official/c44818.lua,true,true,C:\Users\ocara\Downloads\allcards\images\44818.jpg,Assets/StreamingAssets/Ygo/Art/44818.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Starry Knight Orbitael,
