code,official_name,deck_section,cid,script_source,official_text,script_load,positive_core,negative_core,cost_target,timing_chain,once_per_turn,deck_interaction,protocol_ui_ai_visual,overall
02314238,"Ataque da Magia Negra",main,6057,Assets/StreamingAssets/Ygo/Scripts/official/c2314238.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
02857636,"Cavaleira do Pesadelo Fênix",extra,13600,Assets/StreamingAssets/Ygo/Scripts/official/c2857636.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
03078380,"Timaeus, o Dragão Unido",main,16808,Assets/StreamingAssets/Ygo/Scripts/official/c3078380.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
07084129,"Bastão do Mago",main,12418,Assets/StreamingAssets/Ygo/Scripts/official/c7084129.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
07198399,"Pequena Maga Chocolate",main,12358,Assets/StreamingAssets/Ygo/Scripts/official/c7198399.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
07922915,"Navegação do Mago",main,12470,Assets/StreamingAssets/Ygo/Scripts/official/c7922915.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
09287078,"Renovação Negra",main,4822,Assets/StreamingAssets/Ygo/Scripts/official/c9287078.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
12266229,"Ilusão do Caos",main,16839,Assets/StreamingAssets/Ygo/Scripts/official/c12266229.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
14315573,"Negativação de Ataque",main,4804,Assets/StreamingAssets/Ygo/Scripts/official/c14315573.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
14558127,"Florescer de Cinzas & Primavera Feliz",main,12950,Assets/StreamingAssets/Ygo/Scripts/official/c14558127.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
20747792,"Pequena Maga Baga",main,12497,Assets/StreamingAssets/Ygo/Scripts/official/c20747792.lua,covered,covered,pending,pending,pending,pending,pending,pending,partial,pending
